Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,CCI,PMI,REERI,Class
01/04/2017,1071650,987,6607,69,85,15,25,72,62,80,70,61,61,95,56,64,65,73,60,68,18,21,117,54.1,126,Train
01/05/2017,972844,1077,7726,52,77,14,25,64,69,84,66,61,82,74,55,64,53,64,47,62,17,24,117.1,51.6,125,Train
01/06/2017,949362,1054,8835,70,79,18,19,63,68,79,66,56,80,82,52,61,58,67,46,57,15,27,115,52.5,124,Train
01/07/2017,1036880,1121,7441,69,85,19,21,72,78,82,79,68,83,87,60,63,76,71,51,63,14,29,113.4,51.2,122,Train
01/08/2017,1229163,1367,9446,66,83,21,19,71,71,82,83,60,82,83,58,69,69,68,54,68,17,26,116.8,51.8,121,Train
01/09/2017,975952,1349,9471,70,82,16,23,69,73,84,79,63,78,75,74,72,62,68,54,68,11,20,115.1,53.3,120,Train
01/10/2017,1024899,1442,10052,68,85,18,20,73,74,88,84,65,77,78,72,75,68,73,78,70,17,23,120.7,51.6,122,Train
01/11/2017,1172568,1492,11106,81,89,20,20,72,70,87,87,64,85,84,88,76,73,84,74,79,14,25,118.5,51.4,122,Train
01/12/2017,1276353,1469,9840,82,89,30,34,67,62,86,83,62,70,82,87,75,80,97,58,73,19,21,115.9,52.5,122,Train
01/01/2018,1430242,1098,7872,100,100,20,24,78,88,100,99,80,94,90,83,89,86,100,77,84,20,28,115.7,53.4,120,Train
01/02/2018,1431845,941,6947,74,87,20,19,63,81,91,80,65,76,77,65,74,66,82,61,74,13,22,119.7,53.5,119,Train
01/03/2018,1343314,936,6877,81,93,26,24,72,82,80,88,65,86,100,64,76,77,88,62,77,22,29,121.4,51.6,119,Train
01/04/2020,0,74,542,20,34,4,2,22,14,16,22,27,7,20,19,11,30,18,14,26,3,6,91.8,32.7,133,Train
01/05/2020,0,92,710,22,43,4,2,21,16,19,23,33,10,26,21,13,32,27,16,25,3,5,92.3,42.7,133,Train
01/06/2020,0,64,504,37,59,2,1,23,28,20,24,38,13,28,23,15,33,38,17,24,6,6,98.1,51.1,131,Train
01/07/2020,0,48,347,30,68,3,0,24,32,18,24,28,18,26,20,13,30,38,11,22,4,5,92.5,47.6,129,Train
01/08/2020,0,40,271,21,63,0,3,20,27,16,17,20,6,19,18,12,23,24,15,18,2,4,94.1,45.7,128,Train
01/09/2020,0,49,314,17,52,0,3,19,25,15,19,21,2,19,17,12,27,24,12,20,4,2,100.4,52.2,128,Train
01/10/2020,0,29,221,14,52,2,2,16,21,13,17,19,9,22,23,9,25,28,11,18,3,3,101.8,50.6,127,Train
01/11/2020,0,43,329,18,43,1,2,18,18,12,14,16,6,18,17,9,17,29,10,17,2,0,96.9,47.4,126,Train
01/12/2020,0,26,205,16,44,0,3,18,21,12,14,18,7,18,16,10,20,30,10,21,1,1,100.7,51.7,123,Train
01/01/2021,0,39,290,20,44,1,0,19,21,11,15,17,7,17,16,10,16,29,11,22,4,2,99,51.3,123,Train
01/04/2018,1341913,919,6154,80,82,21,27,64,78,83,78,59,73,87,60,63,69,75,62,73,22,28,118.8,52.7,120,Validation
01/05/2018,1161114,1004,7197,72,79,16,24,63,78,72,77,54,77,75,54,63,69,64,63,71,16,25,118,53.9,123,Validation
