Month,Tourist Arrival,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,CCI,PMI,REERI,Class
01/10/2014,559002,0,0.11111111,0.012179983,0.006952293,0.00968086,0.010576043,0.008527377,0.001874201,0.00874603,0.006754124,0.015981659,0.92129312,106.9,51,118,Train
01/11/2014,608617,0.125,0,0.008728162,0.005539131,0.006892345,0.009617102,0.008753879,0.001699135,0.927032654,0.017852963,0.008740779,0.005143851,108.8,52.1,120,Train
01/12/2014,657304,0,0,0.012179983,0.007981387,0.003652359,0.950006982,0.007055246,0.000683567,0.007037981,0.011457398,0.003377847,0.004572058,113.6,51.5,121,Train
01/01/2015,700692,0,0.08333333,0.007013354,0.005528148,0.008271396,0.008847373,0.011492785,0.001109004,0.01250344,0.935115748,0.007492228,0.002626526,118.1,52.7,118,Train
01/02/2015,756000,0.27272727,0.18181818,0.006025279,0.006295286,0.008041077,0.013513907,0.856803131,0.001673305,0.017269984,0.075365386,0.007146689,0.006381241,115.4,51.7,120,Train
01/03/2015,617895,0.25,0,0.012179983,0.008954962,0.910461523,0.008189754,0.008681863,0.001415278,0.012903428,0.022957134,0.01021852,0.008517894,113,50.7,122,Train
01/04/2015,69044,0,0.07692308,0.0091184,0.005285272,0.006408906,0.009290585,0.008196906,0.001606416,0.928924856,0.018693932,0.007420419,0.005054308,115.9,53.5,121,Train
01/05/2015,576868,0.30769231,0.07692308,0.012179983,0.008260185,0.011736043,0.01302377,0.016655996,0.001634495,0.018990931,0.904292841,0.011106433,0.004126536,110.7,54.8,120,Train
01/06/2015,529445,0,0.5,0.007981387,0.912207537,0.008568565,0.017645905,0.007215174,0.002428139,0.009271409,0.012694858,0.01347531,0.007101354,116.1,52.2,121,Train
01/07/2015,593566,0.07692308,0.23076923,0.014135199,0.01248831,0.004695529,0.930303086,0.010238098,0.001026336,0.00994172,0.012666818,0.004975262,0.007070739,113.1,52.6,122,Train
01/08/2015,664985,0,0.14285714,0.009121202,0.005834666,0.006867367,0.010084201,0.010670192,0.001801848,0.925915067,0.016353459,0.008054561,0.005297438,111.9,51.3,124,Train
01/09/2015,626324,0,0,0.012179983,0.008316206,0.010116363,0.014771643,0.013240256,0.002395765,0.889714095,0.029239989,0.011851742,0.007461408,107.2,49.5,125,Train
